text,IN,VI,SE,AD,PO,CLEAN
비싼 거시기 했네,SE,,,,,
이건 속은 사람도 심각한 수준이네... 이런걸 속는다면 대체 지능이 어느 수준이라는거야??,IN,,,,,
진짜 멍청해도 저렇게 멍청한가 ㅋㅋㅋㅋㅋㅋㅋ,IN,,,,,
자라고해서 잤다.. 대가리에 머가...,IN,,,,,
무당이 왠 모르는 남자와 자라는걸 그대로 또 한다고?,SE,,,,,
ㅂ ㅈ 주고 돈 뺐기고 멍청 이,SE,,,,,
이건 무당보다 당한 인간이 더 모지리,IN,,,,,
저건 무당말고 글 작성자가 모자란거아님??,IN,,,,,
와... 난 놈이네. 이죄명보다 더 재주가 좋네.,PO,,,,,
ㅋㅋ그냥 하고싶었겠지 돈털리고나니 아차싶은거지ㅋㅋ무속인말 믿는 여자들은 그냥 정신병자랑 같아요 저런것들 덕분에 사이비가 판치는거지 예수도 오랫동안 엄청난 인간들을 속인 교주..신은 없다 신이 있다면 인간보다 뛰어난 대자연 대자연을 이용해 무지한 사람들을 속여온것,IN,,,,,
믿은 댁도 문제요 이러니 이나라에 사이비 종교가 판을치지,IN,,,,,
어떤 지능을 가지고 있길래 저런거에 당하냐...한심한 여자 당해도 싸다 어휴~ 속터져~,IN,,,,,
한 번 속으면 속인 놈이 문제지만 두 번 속으면 속은 놈도 문제가 있다,IN,,,,,
멍청한...아무리 그래도 쌩판 모르는 놈한테 몸을 막주냐?,SE,,,,,
저걸 믿는거 자체가 능지가 떨어지는거 아님?,IN,,,,,
에라이 닭대가냐 ? 동정심이 일도 안간다,IN,,,,,
사기친 쓰레기도 나쁘지만 이런걸 당하는 모지리는 또 모여...참 무속신앙 좋아들해...,IN,,,,,
멍청한건 답이 없다. 사기친 놈도 천하에 죽일것이지만 저 여자 지능은 정말 처참하다,IN,,,,,
이거는 그날 막 땡겨서 하고 싶어서 한듯. 설마 능지겠어??,SE,,,,,
무당에게 속은 사람이 잘못이지... 뭐가 불안해서 무당집을 갑니까?,IN,,,,,
무당의 말에 의존하는 나약한 인간...ㅉㅉ 그런데를 왜 가냐?!!,IN,,,,,
인간이 다 똑같은 인간인 것을..;;ㅉㅉ 무속인 찾아가는거 자체가 한심;;..,IN,,,,,
속인게 대단한거냐 속은게 멍청한거냐...참....ㅉㅉㅉㅉ,IN,,,,,
믿는 여자가 더 문제임.,IN,,,,,
무서운 경상 괴뢰 암컷,IN,,,,,
관종 요즘 지 자랑이 과함 피로,IN,,,,,
근데 남자 보는 눈은 없었나봐요,IN,,,,,
남자가 돈도 벌고 살림도 절반 하고 정자 넣어서 애도 만들어 주면 그게 노예지 부부냐? 당장 때려쳐라 싹수가 노랗다...,IN,,,,,
육아도 아닌 일상적인 집안일을 혼자 못하겠다는 게 실화인가요 여자 생각에 취집왔는데 일은 하기싫고 퐁퐁남 주제에 말을 안 들으니 화가 날만도 하네요 아무리 말해도 절대 안 바뀌고 애 생기면 하루하루가 전쟁 될 게 뻔하고 스트레스에 담배만 늘어 돌연사합니다 몸이 가벼울 때 얼른 탈출이 해답,IN,,,,,
애 낳기전에 본색을 들어내서 당행이네요. 잘 판단하시고 이혼 고려해 보세요. 애 낳으면 돌이킬 수 없습니다,IN,,,,,
여자가 호구 물어네 ~ 이제부터 가스라이딩 시작인가? ~ 저런건 빨리 이혼이 능사고 ~ 더 데리고 살다가는 남자가 범죄자 된다,IN,,,,,
나도 여자지만 저런 여자들 정말 한심하고 답 없는듯. 직장생활 힘들다고 징징 거려서 남편이 쉬게해주고 배려해 주면 알아서 잘 할것이지. 두사람 사는 살림에 머가 그렇게 할일이 많아서 말이 많나 궁금함.어쩌면 제몸하나 가꾸는데만 몰두하고 집안일은 개판으로 해 놨을거 같은데. 남편 출근하면 친구들 만 나서 브런치 먹고 싸돌아 다니면서 노느라 하루가 바쁠거야. 분명히.. 저런 여자들 많이 주변에서 들어 혹시나 내 아들도 저런여자 만날까 무서움. 애초부터 싹이 노랗다,IN,,,,,
하루라도 빨리 이혼이 답이다. 참고로 나도 여자이지만 생각이 너무나 없이 사는 여자들 보면 구역질 난다.,IN,,,,,
대체 뭘보고 결혼했냐? 이혼하고 딴여자 찾아라. 세상에 널린게 여자. 게으르고 과소비하는 여자는 무조건 피해라. 최소한의 감사를 아는 여자를 골라라.,IN,,,,,
전업주부라며. 가사도 반반하자고 하면 나가서 돈 벌어와야지. 전업주부도 하나의 직업이다. 그냥 이혼하고 필리핀 가정부 데려다 일시키고 혼자 사는게 정신건강에 좋을듯,IN,,,,,
씨받이냐... 스스로를 값싸게 만드네. 사랑과 신뢰를 바탕으로 결혼한 거 아니었어? 애 낳아주는 조건으로 결혼한 거야?,SE,,,,,
미친것.....애 놓는게 무슨 벼슬인지...... 이혼이 답이다 저런게 애 놓고 양육하면 얼마나 기고 만장할까 나도 여자지만 애 놓는걸 딜...한다고 너가 애 놓을려고 결혼했냐..묻고싶다 지 스스로 애놓는 기계쯤으로 생각하는게 수준이 보인다,IN,,,,,
전업주부인데 왜 가사를 반반해야하는거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이러니까 국제결혼률이 올라가는거야... 현재 결혼하는 3040세대들 특히 40들 취집 마인드 장난아님,IN,,,,,
취집,IN,,,,,
한국여자 거르는게 답이네 오로지 지편한것만 찾는 상대에 대한 배려따윈 1도없는 한국여자와 결혼하느니 혼자살거나 국제결혼하는게 답,IN,,,,,
사워하실거면 창문닫고하든지 무슨비명..웃기네,IN,,,,,
다보일 정도의 창문 사이즈면 열어놓지 말아야 하는것 아니냐? 누구라도 눈에 보이면 보게 되지. 여성은 음란공연죄로 처벌 되어야하지 않냐?,IN,,,,,
관음증....병인가? 호기심인가? 지나치면 위험하지만 우연히 지나가다 창문열고 샤워하는 모습을 봤다면 굳이 범죄자로 모는것도 억울하지않을까싶다!,IN,,,,,
침입한 것도 아니고 열린 창을 통해 안쪽을 보는 것이 왜 범죄인지? 내용물이 샤워하는 젊은 여자의 알몸이라서 범죄인가?,IN,,,,,
문을 열고 봤으면 문제가 있는건데 열려있는걸로 봤으면 씻은사람이 문제 아니냐?,IN,,,,,
우연히 지나가다 창문에 샤워하는 사람을 봤을 때 호기심이 발동할 수 있다 창문을 열어놓고 샤워하는 것이 잘 못이 아닌가? 나이를 먹은 남자도 창문을 닫고 하는데 더구나 여성이~,IN,,,,,
반대로 샤워하는 남자를 지나가는 여자가 봤다면? 저렇게 적극적으로 잡았을까? 아마 샤워한 남자를 집아갔겠지. 상습범이라고.,IN,,,,,
도로에서 다 보이는데 창문 열고 샤워를 한다..꽃뱀한테 제대로 걸렸네.,IN,,,,,
참 세상이 많이 달라졌네. 과거에는 냇가에 목욕하는 처녀 보다가 들키면 뭐 보냐며 물 한번 뿌리면 웃으면서 도망가고 이래도 탈이 없는 세상이었는데. ㅋㅋ 조선시대 화가 김홍도 신윤복다 이런 그림을 해학적으로 그리곤 했었는데. 시대가 바뀌었으니 요즈음 시대의 법으로 살아가고 판단 받아야 되겠지.,SE,,,,,
저거 남자가 샤워하고 있다가 밖의 여자랑 눈마주쳐도 또 남자가 잡혀감 여자 앞에서 옷벗고 있었다는 죄로 ㅋㅋㅋ,IN,,,,,
남여가 왜 이리 불평등하냐? 남자가 만일 문 열어 놓고 샤워하면 남자가 공연음란죄 되는거 아닌가? 뭐든지 남자가 불리한게 너무 문제가 많다.,IN,,,,,
샤워하는 것이 보여서 보는 것도 문제가 되나? 사워를 하는 당사자가 커튼을 치든지 하여야 하는 것은 아닌가? 이것이 문제가 된다면 길에서 나체로 서있는 사람을 쳐다보는 것도 문제가 된다는 의미가 되는 것 같은데...,CLEAN,,,,,
이래서 한국남자 한국남자 하는구나 ㅋ 몸에서는 썩은 마늘냄새는 기본이요~ 뇌는 여드름 만한 생식기가 지배하고 가진건 없고 분노랑 성욕만 남은 민족이노라~ 생긴건 엎어진 김치요! 성격은 곰팡이핀 배추니라~,IN,,,,,
검사 판사 들이 문제지 문제에 심각성을 모르고 불기소에초범이고 g 롤이고 반성한다고 집유 때리고,IN,,,,,
뭔 거지 같은 장사치냐,IN,,,,,
정신나간 식당주인이네.,IN,,,,,
장사 중 최고의 장사는 사람을 남기는 거라고 했는데 음식을 남기자고 사람 떠나게 하는 속 좁은 밴댕이가 따로 없네. 저런 밴댕이는 김치로 담궈야 한다.,IN,,,,,
나갈때 여자분은 돈 덜내고 나가버리면 됨양심이랑 상식없으면 자영업하지말아야 안그래요 dipi 아줌마?,IN,,,,,
웃기는 여자네 뻔히 알면서 왜 또 가서는 진상짓이지? 가지마 거기 사장이 오라고 불렀니? 어이가 없네,IN,,,,,
많이 퍼주면 오지게 남기더만..,IN,,,,,
진짜 제발 나 자궁에 지진와,SE,,,,,
지금 맨발이면 발가락 보여줘,,,,,,
어떻게 딸을 칠 수가 있어?,VI,,,,,
쎅한판만시원하게뜨자ㅠㅠ,CLEAN,,,,,
